ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
5085,simple,4021,02474/20N / KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,342,5,0,0,,,,,1,,,5.88,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5086,simple,9349,102949/10 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,376,5,0,0,,,,,1,,,5.66,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5087,simple,4012,104948/10 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,291,5,0,0,,,,,1,,,6.09,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5088,simple,3972,104949/11 / KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,42,5,0,0,,,,,1,,,7.61,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5089,simple,9152,11162/300 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,26,5,0,0,,,,,1,,,12.8,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5090,simple,3943,11749/11710 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,43,5,0,0,,,,,1,,,3.05,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5091,simple,9246,11949/10 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,28,5,0,0,,,,,1,,,2.92,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5092,simple,106022,1210-C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,26,5,0,0,,,,,1,,,12.24,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5093,simple,3983,1210-K /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,0,1,5,0,0,,,,,1,,,16.14,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5094,simple,9195,1212-KC3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,7,5,0,0,,,,,1,,,13.92,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5095,simple,9196,1213-C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,10,5,0,0,,,,,1,,,18.03,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5096,simple,9197,1213-KC3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,16,5,0,0,,,,,1,,,20.71,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5097,simple,7039,12649/10 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,1454,5,0,0,,,,,1,,,3.31,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5098,simple,9154,12749/10 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,100,5,0,0,,,,,1,,,3.07,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5099,simple,9247,12749/11 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,67,5,0,0,,,,,1,,,3.07,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5100,simple,9350,14138A/276 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,339,5,0,0,,,,,1,,,5.97,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5101,simple,9351,15123/245-KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,8,5,0,0,,,,,1,,,4.65,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5102,simple,9551,16016 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,12,5,0,0,,,,,1,,,15.52,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5103,simple,106454,17887/31 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,30,5,0,0,,,,,1,,,5.8,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5104,simple,9360,18690/20-KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,40,5,0,0,,,,,1,,,9.35,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5105,simple,105802,18790/20 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,0,3,5,0,0,,,,,1,,,10.6,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5106,simple,9754,207049/10 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,11,5,0,0,,,,,1,,,14.96,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5107,simple,9249,212049/11 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,19,5,0,0,,,,,1,,,19.49,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5108,simple,10566,21310-RZW33C3/KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,14,5,0,0,,,,,1,,,41.85,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5109,simple,10567,21312-RZW33C3/KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,0,2,5,0,0,,,,,1,,,46.69,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5110,simple,105646,21314-RZW33C3M /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,6,5,0,0,,,,,1,,,60.92,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5111,simple,10590,21315-RZW33C3/KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,10,5,0,0,,,,,1,,,65.09,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5112,simple,9344,21316-RZW33C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,6,5,0,0,,,,,1,,,77.95,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5113,simple,9250,218248/10 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,0,3,5,0,0,,,,,1,,,30.45,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5114,simple,105753,2207-KMG /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,13,5,0,0,,,,,1,,,9.56,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
