ID,Type,SKU,Sold individually?
5085,simple,4021,0
5086,simple,9349,0
5087,simple,4012,0
5088,simple,3972,0
5089,simple,9152,0
5090,simple,3943,0
5091,simple,9246,0
5092,simple,106022,0
5093,simple,3983,0
5094,simple,9195,0
5095,simple,9196,0
5096,simple,9197,0
5097,simple,7039,0
5098,simple,9154,0
5099,simple,9247,0
5100,simple,9350,0
5101,simple,9351,0
5102,simple,9551,0
5103,simple,106454,0
5104,simple,9360,0
5105,simple,105802,0
5106,simple,9754,0
5107,simple,9249,0
5108,simple,10566,0
5109,simple,10567,0
5110,simple,105646,0
5111,simple,10590,0
5112,simple,9344,0
5113,simple,9250,0
5114,simple,105753,0
5115,simple,105754,0
5116,simple,9200,0
5117,simple,9198,0
5118,simple,9199,0
5119,simple,9201,0
5120,simple,3790,0
5121,simple,107048,0
5122,simple,10085,0
5123,simple,10216,0
5124,simple,10086,0
5125,simple,105578,0
5126,simple,9954,0
5127,simple,9749,0
5128,simple,9955,0
5129,simple,107043,0
5130,simple,9237,0
5131,simple,9957,0
5132,simple,9958,0
5133,simple,10218,0
5134,simple,9959,0
5135,simple,9238,0
5136,simple,107109,0
5137,simple,9750,0
5138,simple,106753,0
5139,simple,10147,0
5140,simple,106746,0
5141,simple,9573,0
5142,simple,9240,0
5143,simple,9751,0
5144,simple,9658,0
5145,simple,9962,0
5146,simple,10087,0
5147,simple,10219,0
5148,simple,106155,0
5149,simple,9963,0
5150,simple,10088,0
5151,simple,10220,0
5152,simple,9659,0
5153,simple,9964,0
5154,simple,9965,0
5155,simple,9967,0
5156,simple,9968,0
5157,simple,10089,0
5158,simple,106183,0
5159,simple,10149,0
5160,simple,10150,0
5161,simple,10090,0
5162,simple,107045,0
5163,simple,9241,0
5164,simple,3796,0
5165,simple,107046,0
5166,simple,107047,0
5167,simple,106747,0
5168,simple,9242,0
5169,simple,9969,0
5170,simple,10151,0
5171,simple,9528,0
5172,simple,105647,0
5173,simple,10152,0
5174,simple,106357,0
5175,simple,10092,0
5176,simple,9346,0
5177,simple,10221,0
5178,simple,9970,0
5179,simple,106028,0
5180,simple,10153,0
5181,simple,9971,0
5182,simple,9972,0
5183,simple,9636,0
5184,simple,9347,0
5185,simple,10154,0
5186,simple,9244,0
5187,simple,10222,0
5188,simple,9203,0
5189,simple,10569,0
5190,simple,106718,0
5191,simple,9348,0
5192,simple,10093,0
5193,simple,3799,0
5194,simple,106684,0
5195,simple,10223,0
5196,simple,10224,0
5197,simple,10094,0
5198,simple,9973,0
5199,simple,10225,0
5200,simple,106358,0
5201,simple,10226,0
5202,simple,106158,0
5203,simple,9153,0
5204,simple,105889,0
5205,simple,105577,0
5206,simple,9151,0
5207,simple,4032,0
5208,simple,105580,0
5209,simple,8879,0
5210,simple,106689,0
5211,simple,3801,0
5212,simple,3938,0
5213,simple,3944,0
5214,simple,3939,0
5215,simple,106687,0
5216,simple,9832,0
5217,simple,4041,0
5218,simple,10229,0
5219,simple,3803,0
5220,simple,7420,0
5221,simple,8336,0
5222,simple,3804,0
5223,simple,106685,0
5224,simple,4029,0
5225,simple,7414,0
5226,simple,106421,0
5227,simple,9756,0
5228,simple,10572,0
5229,simple,10526,0
5230,simple,105884,0
5231,simple,105885,0
5232,simple,3807,0
5233,simple,9589,0
5234,simple,3808,0
5235,simple,106456,0
5236,simple,9144,0
5237,simple,9352,0
5238,simple,10096,0
5239,simple,3809,0
5240,simple,3988,0
5241,simple,10228,0
5242,simple,10574,0
5243,simple,9575,0
5244,simple,10168,0
5245,simple,9576,0
5246,simple,10575,0
5247,simple,3960,0
5248,simple,9859,0
5249,simple,105649,0
5250,simple,3812,0
5251,simple,10576,0
5252,simple,3920,0
5253,simple,9666,0
5254,simple,10577,0
5255,simple,106360,0
5256,simple,10578,0
5257,simple,106361,0
5258,simple,10579,0
5259,simple,8028,0
5260,simple,105800,0
5261,simple,3815,0
5262,simple,8216,0
5263,simple,9245,0
5264,simple,9577,0
5265,simple,9757,0
5266,simple,3817,0
5267,simple,9146,0
5268,simple,106422,0
5269,simple,9147,0
5270,simple,106160,0
5271,simple,10195,0
5272,simple,3821,0
5273,simple,9926,0
5274,simple,4013,0
5275,simple,3990,0
5276,simple,9353,0
5277,simple,4026,0
5278,simple,4028,0
5279,simple,9752,0
5280,simple,105844,0
5281,simple,4023,0
5282,simple,4017,0
5283,simple,4007,0
5284,simple,9667,0
5285,simple,9148,0
5286,simple,10230,0
5287,simple,10465,0
5288,simple,3824,0
5289,simple,9354,0
5290,simple,9145,0
5291,simple,4011,0
5292,simple,7111,0
5293,simple,9361,0
5294,simple,9860,0
5295,simple,106719,0
5296,simple,3826,0
5297,simple,9150,0
5298,simple,106748,0
5299,simple,9579,0
5300,simple,9759,0
5301,simple,105569,0
5302,simple,105685,0
5303,simple,107037,0
5304,simple,3831,0
5305,simple,10196,0
5306,simple,10525,0
5307,simple,9669,0
5308,simple,9254,0
5309,simple,9760,0
5310,simple,9761,0
5311,simple,9833,0
5312,simple,10197,0
5313,simple,9204,0
5314,simple,9205,0
5315,simple,9664,0
5316,simple,9665,0
5317,simple,9248,0
5318,simple,9355,0
5319,simple,3832,0
5320,simple,3940,0
5321,simple,7609,0
5322,simple,9527,0
5323,simple,9255,0
5324,simple,3921,0
5325,simple,9762,0
5326,simple,10098,0
5327,simple,105559,0
5328,simple,9362,0
5329,simple,10527,0
5330,simple,3930,0
5331,simple,10099,0
5332,simple,106162,0
5333,simple,3834,0
5334,simple,10232,0
5335,simple,3835,0
5336,simple,3991,0
5337,simple,8174,0
5338,simple,8017,0
5339,simple,4030,0
5340,simple,3922,0
5341,simple,106690,0
5342,simple,3838,0
5343,simple,4025,0
5344,simple,3948,0
5345,simple,9363,0
5346,simple,3958,0
5347,simple,9765,0
5348,simple,9251,0
5349,simple,4002,0
5350,simple,106458,0
5351,simple,3962,0
5352,simple,105793,0
5353,simple,106472,0
5354,simple,10069,0
5355,simple,3842,0
5356,simple,3963,0
5357,simple,4018,0
5358,simple,9755,0
5359,simple,10554,0
5360,simple,106362,0
5361,simple,9834,0
5362,simple,3964,0
5363,simple,10528,0
5364,simple,106423,0
5365,simple,106424,0
5366,simple,9637,0
5367,simple,107106,0
5368,simple,105686,0
5369,simple,4043,0
5370,simple,4042,0
5371,simple,105688,0
5372,simple,9552,0
5373,simple,105687,0
5374,simple,4048,0
5375,simple,4038,0
5376,simple,105689,0
5377,simple,105691,0
5378,simple,9106,0
5379,simple,105690,0
5380,simple,9554,0
5381,simple,105570,0
5382,simple,10198,0
5383,simple,105692,0
5384,simple,105694,0
5385,simple,105693,0
5386,simple,4036,0
5387,simple,9108,0
5388,simple,4033,0
5389,simple,105695,0
5390,simple,107038,0
5391,simple,9931,0
5392,simple,105697,0
5393,simple,105696,0
5394,simple,9719,0
5395,simple,9718,0
5396,simple,105698,0
5397,simple,9641,0
5398,simple,9110,0
5399,simple,4019,0
5400,simple,9209,0
5401,simple,9642,0
5402,simple,9111,0
5403,simple,9556,0
5404,simple,4003,0
5405,simple,3999,0
5406,simple,4008,0
5407,simple,9112,0
5408,simple,7334,0
5409,simple,105700,0
5410,simple,9661,0
5411,simple,105699,0
5412,simple,9113,0
5413,simple,3845,0
5414,simple,9210,0
5415,simple,105701,0
5416,simple,10071,0
5417,simple,105702,0
5418,simple,9114,0
5419,simple,9161,0
5420,simple,105703,0
5421,simple,9557,0
5422,simple,9558,0
5423,simple,105794,0
5424,simple,10556,0
5425,simple,10557,0
5426,simple,9211,0
5427,simple,9824,0
5428,simple,10159,0
5429,simple,9033,0
5430,simple,106418,0
5431,simple,10558,0
5432,simple,105571,0
5433,simple,105705,0
5434,simple,9559,0
5435,simple,10559,0
5436,simple,4040,0
5437,simple,9825,0
5438,simple,9643,0
5439,simple,4046,0
5440,simple,9333,0
5441,simple,9213,0
